epsilon,tp,fp,fn,precision,recall,f1,n_matched_w,mae,medae,cpmae
0.5,652,440,218,0.597,0.749,0.665,651,43.2,20.0,73.9
0.6,494,598,376,0.452,0.568,0.504,494,40.1,20.0,90.5
0.7,275,817,595,0.252,0.316,0.28,275,44.9,25.0,113.1
0.8,133,959,737,0.122,0.153,0.136,133,32.5,20.0,135.1
0.9,66,1026,804,0.06,0.076,0.067,66,29.0,14.5,143.7
