epsilon,tp,fp,fn,precision,recall,f1,n_matched_w,mae,medae,cpmae
0.5,645,364,225,0.639,0.741,0.687,643,40.4,20.0,70.0
0.6,420,589,450,0.416,0.483,0.447,420,40.4,24.0,94.7
0.7,258,751,612,0.256,0.297,0.275,258,41.0,25.5,116.6
0.8,130,879,740,0.129,0.149,0.138,130,32.3,23.0,134.7
0.9,59,950,811,0.058,0.068,0.063,59,31.5,24.0,144.0
