model,temperature,epsilon,n_matched_with_weight,n_missed,mae,medae,nmae_legacy,cpmae,cpmae_fp
gpt-5.2,0.8,0.5,616,254,45.560064935064936,23.0,69.92068965517241,77.90689655172413,136.5264367816092
gpt-5.2,0.8,0.6,399,471,51.43107769423559,30.0,93.42528735632185,101.10574712643678,189.89425287356323
gpt-5.2,0.8,0.7,219,651,49.821917808219176,33.0,109.06896551724138,121.58390804597701,240.97471264367817
gpt-5.2,0.8,0.8,86,784,38.7906976744186,25.0,120.08275862068966,141.59655172413792,288.28275862068966
gpt-5.2,0.8,0.9,30,840,33.8,18.5,125.71724137931035,147.93793103448274,304.9172413793103
gpt-5.2,1.0,0.5,613,257,46.50244698205547,25.0,70.87241379310345,78.86436781609196,138.2712643678161
gpt-5.2,1.0,0.6,382,488,50.85078534031414,31.5,94.68620689655172,103.57241379310345,196.04137931034484
gpt-5.2,1.0,0.7,217,653,49.433179723502306,33.0,109.15402298850574,122.1183908045977,240.86666666666667
gpt-5.2,1.0,0.8,83,787,42.31325301204819,27.0,120.72988505747126,141.7103448275862,287.98850574712645
gpt-5.2,1.0,0.9,34,836,28.88235294117647,19.0,125.08735632183908,147.3793103448276,302.41379310344826
granite3.2-vision:2b,0.0,0.5,1,869,540.0,540.0,129.47241379310344,151.73908045977012,151.9712643678161
granite3.2-vision:2b,0.0,0.6,0,870,,,129.0,151.85402298850576,152.20114942528735
granite3.2-vision:2b,0.0,0.7,0,870,,,129.0,151.85402298850576,152.20114942528735
granite3.2-vision:2b,0.0,0.8,0,870,,,129.0,151.85402298850576,152.20114942528735
granite3.2-vision:2b,0.0,0.9,0,870,,,129.0,151.85402298850576,152.20114942528735
granite3.2-vision:2b,0.2,0.5,1,869,540.0,540.0,129.47241379310344,151.73908045977012,151.96896551724137
granite3.2-vision:2b,0.2,0.6,0,870,,,129.0,151.85402298850576,152.19885057471265
granite3.2-vision:2b,0.2,0.7,0,870,,,129.0,151.85402298850576,152.19885057471265
granite3.2-vision:2b,0.2,0.8,0,870,,,129.0,151.85402298850576,152.19885057471265
granite3.2-vision:2b,0.2,0.9,0,870,,,129.0,151.85402298850576,152.19885057471265
granite3.2-vision:2b,0.4,0.5,1,869,540.0,540.0,129.47241379310344,151.73908045977012,152.19885057471265
granite3.2-vision:2b,0.4,0.6,0,870,,,129.0,151.85402298850576,152.4287356321839
granite3.2-vision:2b,0.4,0.7,0,870,,,129.0,151.85402298850576,152.4287356321839
granite3.2-vision:2b,0.4,0.8,0,870,,,129.0,151.85402298850576,152.4287356321839
granite3.2-vision:2b,0.4,0.9,0,870,,,129.0,151.85402298850576,152.4287356321839
granite3.2-vision:2b,0.6,0.5,4,866,187.75,105.5,129.27011494252875,151.38275862068966,152.54367816091954
granite3.2-vision:2b,0.6,0.6,3,867,70.33333333333333,91.0,128.79770114942528,151.4977011494253,152.7735632183908
granite3.2-vision:2b,0.6,0.7,2,868,105.5,105.5,128.94597701149425,151.67011494252873,153.1183908045977
granite3.2-vision:2b,0.6,0.8,2,868,105.5,105.5,128.94597701149425,151.67011494252873,153.1183908045977
granite3.2-vision:2b,0.6,0.9,2,868,105.5,105.5,128.94597701149425,151.67011494252873,153.1183908045977
granite3.2-vision:2b,0.8,0.5,5,865,186.6,110.0,129.3310344827586,151.41264367816092,151.96781609195403
granite3.2-vision:2b,0.8,0.6,2,868,88.5,88.5,128.90689655172415,151.7206896551724,152.6206896551724
