epsilon,tp,fp,fn,precision,recall,f1,n_matched_w,mae,medae,cpmae
0.5,641,436,229,0.595,0.737,0.658,641,42.0,20.0,74.8
0.6,485,592,385,0.45,0.557,0.498,485,40.3,21.0,91.7
0.7,261,816,609,0.242,0.3,0.268,261,40.9,24.0,115.0
0.8,138,939,732,0.128,0.159,0.142,138,31.2,21.0,134.7
0.9,69,1008,801,0.064,0.079,0.071,69,31.3,17.0,143.1
