model,temperature,run,epsilon,tp,fp,fn,precision,recall,f1,n_matched_w,mae,medae,rmse,mape,nmae_legacy,cpmae
qwen3.5:4b,0.8,r1,0.5,469,347,401,0.5748,0.5391,0.5563,469,47.08,32.0,71.44,34.59,84.84,95.5
qwen3.5:4b,0.8,r1,0.6,326,490,544,0.3995,0.3747,0.3867,326,50.14,37.5,73.69,35.56,99.45,111.18
qwen3.5:4b,0.8,r1,0.7,210,606,660,0.2574,0.2414,0.2491,210,49.37,38.0,71.27,31.6,109.78,122.89
qwen3.5:4b,0.8,r1,0.8,120,696,750,0.1471,0.1379,0.1423,120,42.98,37.0,53.98,31.59,117.13,137.2
qwen3.5:4b,0.8,r1,0.9,64,752,806,0.0784,0.0736,0.0759,64,39.3,30.0,50.52,30.62,122.4,144.2
qwen3.5:4b,1.0,r1,0.5,417,399,453,0.511,0.4793,0.4947,417,55.5,39.0,83.05,38.95,93.77,104.47
qwen3.5:4b,1.0,r1,0.6,280,536,590,0.3431,0.3218,0.3321,280,58.3,40.0,88.93,37.8,106.24,118.22
qwen3.5:4b,1.0,r1,0.7,177,639,693,0.2169,0.2034,0.21,177,52.11,36.0,82.49,32.3,113.36,128.58
qwen3.5:4b,1.0,r1,0.8,94,722,776,0.1152,0.108,0.1115,94,44.34,29.5,67.42,28.45,119.85,139.78
qwen3.5:4b,1.0,r1,0.9,52,764,818,0.0637,0.0598,0.0617,52,35.6,25.5,46.5,25.13,123.42,145.44
qwen3.5:9b,0.0,r1,0.5,582,342,288,0.6299,0.669,0.6488,582,40.94,24.5,71.83,26.37,70.09,77.16
qwen3.5:9b,0.0,r1,0.6,376,548,494,0.4069,0.4322,0.4192,376,42.85,28.5,74.58,28.19,91.77,101.85
qwen3.5:9b,0.0,r1,0.7,220,704,650,0.2381,0.2529,0.2453,220,43.99,27.0,82.18,25.45,107.5,119.86
qwen3.5:9b,0.0,r1,0.8,101,823,769,0.1093,0.1161,0.1126,101,26.73,17.0,36.92,20.03,117.13,138.38
qwen3.5:9b,0.0,r1,0.9,49,875,821,0.053,0.0563,0.0546,49,26.57,17.0,36.91,18.23,123.23,145.06
qwen3.5:9b,0.2,r1,0.5,573,350,297,0.6208,0.6586,0.6392,573,41.25,25.0,66.47,26.73,71.21,77.09
qwen3.5:9b,0.2,r1,0.6,373,550,497,0.4041,0.4287,0.4161,373,44.8,30.0,69.9,29.26,92.9,100.22
qwen3.5:9b,0.2,r1,0.7,215,708,655,0.2329,0.2471,0.2398,215,44.8,27.0,75.65,25.26,108.19,119.29
qwen3.5:9b,0.2,r1,0.8,92,831,778,0.0997,0.1057,0.1026,92,31.57,23.0,42.16,23.26,118.7,139.91
qwen3.5:9b,0.2,r1,0.9,50,873,820,0.0542,0.0575,0.0558,50,33.94,24.0,45.51,24.09,123.54,145.34
qwen3.5:9b,0.4,r1,0.5,555,370,315,0.6,0.6379,0.6184,555,41.55,25.0,67.33,27.34,73.21,81.14
qwen3.5:9b,0.4,r1,0.6,366,559,504,0.3957,0.4207,0.4078,366,45.24,29.5,73.43,29.79,93.76,103.84
qwen3.5:9b,0.4,r1,0.7,219,706,651,0.2368,0.2517,0.244,219,44.36,25.0,77.44,26.37,107.69,120.47
qwen3.5:9b,0.4,r1,0.8,98,827,772,0.1059,0.1126,0.1092,98,31.95,23.0,44.84,21.78,118.07,138.33
qwen3.5:9b,0.4,r1,0.9,43,882,827,0.0465,0.0494,0.0479,43,30.07,20.0,40.66,20.8,124.11,145.95
qwen3.5:9b,0.6,r1,0.5,528,391,342,0.5745,0.6069,0.5903,528,43.74,28.0,67.73,28.76,77.26,86.14
qwen3.5:9b,0.6,r1,0.6,351,568,519,0.3819,0.4034,0.3924,351,46.78,31.0,71.21,29.48,95.83,104.8
qwen3.5:9b,0.6,r1,0.7,220,699,650,0.2394,0.2529,0.2459,220,46.41,32.0,74.29,28.13,108.12,121.63
qwen3.5:9b,0.6,r1,0.8,97,822,773,0.1055,0.1115,0.1084,97,35.49,27.0,46.69,26.45,118.57,140.11
qwen3.5:9b,0.6,r1,0.9,38,881,832,0.0413,0.0437,0.0425,38,35.39,26.0,46.37,24.9,124.91,146.82
qwen3.5:9b,0.8,r1,0.5,490,433,380,0.5309,0.5632,0.5466,490,48.29,29.0,73.79,32.61,83.54,91.68
qwen3.5:9b,0.8,r1,0.6,312,611,558,0.338,0.3586,0.348,312,52.08,33.0,79.97,34.39,101.41,112.01
qwen3.5:9b,0.8,r1,0.7,172,751,698,0.1863,0.1977,0.1919,172,50.98,34.0,80.4,31.11,113.57,128.34
qwen3.5:9b,0.8,r1,0.8,65,858,805,0.0704,0.0747,0.0725,65,43.68,30.0,60.56,32.73,122.63,143.69
qwen3.5:9b,0.8,r1,0.9,18,905,852,0.0195,0.0207,0.0201,18,56.39,29.5,78.07,46.81,127.5,150.05
qwen3.5:9b,1.0,r1,0.5,479,422,391,0.5316,0.5506,0.5409,479,46.58,33.0,70.24,32.4,83.62,93.64
qwen3.5:9b,1.0,r1,0.6,314,587,556,0.3485,0.3609,0.3546,314,45.72,34.0,67.8,30.38,98.94,110.24
qwen3.5:9b,1.0,r1,0.7,176,725,694,0.1953,0.2023,0.1988,176,44.66,33.5,72.0,29.5,111.94,128.04
qwen3.5:9b,1.0,r1,0.8,68,833,802,0.0755,0.0782,0.0768,68,38.35,30.0,51.03,29.77,121.91,143.52
qwen3.5:9b,1.0,r1,0.9,16,885,854,0.0178,0.0184,0.0181,16,38.88,26.0,54.2,23.69,127.34,149.58
