epsilon,tp,fp,fn,precision,recall,f1,n_matched_w,mae,medae,cpmae
0.5,658,335,212,0.663,0.756,0.706,654,39.3,21.0,69.9
0.6,433,560,437,0.436,0.498,0.465,432,40.5,24.0,93.3
0.7,250,743,620,0.252,0.287,0.268,250,42.9,25.0,117.3
0.8,132,861,738,0.133,0.152,0.142,132,36.0,23.0,133.8
0.9,55,938,815,0.055,0.063,0.059,55,34.3,27.0,144.4
