epsilon,reference,model,ref_T,model_T,delta_f1_mean,delta_f1_lo,delta_f1_hi,p_ref_better
0.5,gpt-4o,gemma3:12b,0.2,0.4,0.2649573950526569,0.2271431923933504,0.3029916444518103,1.0
0.5,gpt-4o,gemma3:4b,0.2,0.6,0.3545852106916067,0.3182799624506806,0.3909562781537992,1.0
0.5,gpt-4o,gpt-4.1,0.2,0.4,0.02340369864689295,0.002425920559582684,0.04365343853135589,0.983
0.5,gpt-4o,gpt-5.2,0.2,0.0,0.10506333023830042,0.07818670758653665,0.13354464537823857,1.0
0.5,gpt-4o,granite3.2-vision:2b,0.2,0.2,0.5034458917747251,0.4662794444464098,0.5393250114948577,1.0
0.5,gpt-4o,llama3.2-vision:11b,0.2,0.0,0.17386425697886418,0.13638104851007557,0.21178672639952723,1.0
0.5,gpt-4o,llava-llama3:8b,0.2,0.4,0.42255482320083265,0.38923421437519695,0.4563824220985617,1.0
0.5,gpt-4o,llava-phi3:3.8b,0.2,0.0,0.357874998352362,0.319633697640728,0.39727696083418984,1.0
0.5,gpt-4o,llava:13b,0.2,0.2,0.3509275323999925,0.3154161618867137,0.38737652347374335,1.0
0.5,gpt-4o,llava:7b,0.2,0.2,0.3758566734467221,0.3413888179303988,0.41131838670991905,1.0
0.5,gpt-4o,minicpm-v:8b,0.2,0.0,0.2035246972769479,0.17337074671777433,0.23397333988575972,1.0
0.5,gpt-4o,ministral-3:14b,0.2,0.6,0.34518506758857176,0.3095097717454128,0.381237284366292,1.0
0.5,gpt-4o,ministral-3:3b,0.2,0.0,0.33918692431458697,0.3053757950739696,0.3723708744829857,1.0
0.5,gpt-4o,ministral-3:8b,0.2,0.2,0.29756003813538573,0.26435748460176656,0.33206320279015317,1.0
0.5,gpt-4o,mistral-small3.1:24b,0.2,0.2,0.22959889949046833,0.19644094660862557,0.2619693967857959,1.0
0.5,gpt-4o,moondream:1.8b,0.2,0.8,0.4284428530723829,0.39216590769033827,0.46523331931176887,1.0
0.5,gpt-4o,qwen2.5vl:3b,0.2,0.0,0.24644697560301698,0.20324374135019074,0.2971737593266865,1.0
