model,temperature,epsilon,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi,f1_mean,f1_lo,f1_hi,jaccard_mean,jaccard_lo,jaccard_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi,cpmae_fp_mean,cpmae_fp_lo,cpmae_fp_hi
bakllava:7b,0.0,0.5,0.4046975806257897,0.3593730370603015,0.4504831152094489,0.188196638813588,0.16021991900146879,0.21768959579270702,0.2567492967714683,0.22378946232839128,0.291107773275581,0.14739938867914487,0.12599264529626691,0.1703488200885557,131.78395216626274,61.958333333333336,217.0,151.50884760708848,146.6616076128438,156.91573849438365,151.9857199078238,147.16074513984697,157.31553388452156
bakllava:7b,0.0,0.6,0.28146493031716874,0.23724400806834364,0.32425252227704543,0.13092926645801298,0.10667419986582548,0.15658673925864702,0.1786048205029216,0.1482056957355762,0.20988041332868915,0.0981438859510289,0.08003356282271945,0.11724379491515187,65.81346339362051,16.0,103.0,151.62606125699733,146.82325091013212,157.03372665424743,152.22014720764156,147.38221124983687,157.61420346373518
bakllava:7b,0.0,0.7,0.15034570229494193,0.11363496071829404,0.18667532467532463,0.06993697568799141,0.05118849206349206,0.08935374159208559,0.09540329552315004,0.07098628601616265,0.12040801447066658,0.05013776091736605,0.036799264588329335,0.06406071926454622,65.81346339362051,16.0,103.0,151.62606125699733,146.82325091013212,157.03372665424743,152.22014720764156,147.38221124983687,157.61420346373518
bakllava:7b,0.0,0.8,0.09859965318731326,0.0693762139371832,0.1295050064731813,0.0458785226575656,0.03155311450866528,0.062364281737193744,0.0625789233561954,0.043611230594767916,0.0829041917382466,0.03232958162670663,0.022291699585360668,0.04324467850203144,65.81346339362051,16.0,103.0,151.62606125699733,146.82325091013212,157.03372665424743,152.22014720764156,147.38221124983687,157.61420346373518
bakllava:7b,0.0,0.9,0.029307891841148872,0.013121646347731337,0.047848974783959296,0.01363757576961698,0.0057270495827196856,0.022651285544014955,0.018601572770170743,0.007992968175260589,0.03072310049203068,0.00939657049913259,0.004012520064205457,0.015601209135691884,47.10816950633465,16.0,80.0,151.7440708632305,146.8814047884012,157.15447037014022,152.45616642010782,147.53489600432346,157.85405483213748
bakllava:7b,0.2,0.5,0.41765056610467655,0.37019037356321843,0.46714089481946613,0.2133543969974404,0.17908248147639957,0.24887449564663408,0.28223932776099636,0.24364604605370732,0.3226791634970073,0.16446662652131624,0.13872263363656867,0.19237772324752161,116.13668129936755,50.86416666666667,198.0,150.6808440837845,145.67898611146472,156.04621570529883,154.75444092766875,148.69091158594264,162.01933619718707
bakllava:7b,0.2,0.6,0.2689381781696335,0.22818175088827478,0.31322935978418937,0.1373973246221707,0.11150592921442372,0.1659375529571259,0.18175299904705128,0.15049718302939455,0.21573831321958659,0.10005015041847222,0.08137169773009019,0.12091181264326738,94.14298710701324,22.0,337.0,151.51215683031134,146.5973031592732,156.81224123015437,156.94151032007562,150.44653707835818,164.51958732057415
bakllava:7b,0.2,0.7,0.15057440991549953,0.11860289695268646,0.18435313193377698,0.07691977241083754,0.05909478648668295,0.09610983981693363,0.10175456062340195,0.07923514169694425,0.1257582904516867,0.05364589310650679,0.04125186975680984,0.06709822421641447,103.76555314558031,22.0,337.0,151.62983623310797,146.77407860520094,156.96451112687384,157.23570882706704,150.71052061140406,164.93996798422836
bakllava:7b,0.2,0.8,0.08990017895571681,0.06451612903225806,0.11601028329179913,0.04592219097622002,0.032142038007863694,0.0608212341197822,0.06075025689621637,0.043140412157226256,0.07963384140505358,0.03135052321806948,0.022045737259226962,0.04146805081347499,34.81821816105083,26.0,44.0,151.86821936409268,146.98215876598945,157.21209599703482,157.71247508903656,151.0603483447813,165.58709300632515
bakllava:7b,0.2,0.9,0.024527078411059684,0.011598923305569515,0.03947983275946873,0.012543324675817839,0.005753245056534454,0.020408742384581523,0.016586928785358005,0.00765667514318764,0.026647421662965704,0.008368924905597427,0.0038430500653903986,0.013503629285699802,,,,151.9996973428103,147.12285091087935,157.33250160051216,158.0766206032254,151.32773114143552,166.11348472906403
