model,temperature,run,epsilon,f1_mean,f1_lo,f1_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi
claude-sonnet-5,1.0,r1,0.5,0.7062836215364512,0.6771033781312471,0.733546774709195,39.329630403614324,35.54821292231342,43.569251902253434,69.92328834874189,65.22406643562675,75.13088484546702
claude-sonnet-5,1.0,r1,0.6,0.4646186722676243,0.4342221157066793,0.493956681008415,40.53950714796346,35.420083273407165,46.532671342767806,93.39685052018858,87.98820337486674,99.35035426898959
claude-sonnet-5,1.0,r1,0.7,0.2686166015373866,0.24094786557481465,0.29440881584955764,42.93678654672987,35.62930726891631,51.521752837326574,117.35668586044669,112.16031185838177,123.05363399963578
claude-sonnet-5,1.0,r1,0.8,0.14157743124905442,0.12001393611014334,0.1628507609397312,35.86588117100268,28.28441181350589,45.28862062843954,133.9108825880006,128.44340768588137,139.68281757905473
claude-sonnet-5,1.0,r1,0.9,0.058900981589158095,0.04419190719041013,0.07368681891954555,34.24245874725533,27.262828947368423,42.21110215053763,144.60501261223277,139.42620697562558,150.2798154140028
claude-sonnet-5,1.0,r2,0.5,0.6867521550020331,0.6606937987607739,0.712972802994362,40.410590606092114,36.64306550147671,44.587944174757276,70.00168214652781,65.57142686755327,74.63647546483736
claude-sonnet-5,1.0,r2,0.6,0.4473238646150304,0.415287926080942,0.47861930342187076,40.5104420396996,35.82130462184874,45.70803771794955,94.72838987958882,89.16052033133272,100.41876898646782
claude-sonnet-5,1.0,r2,0.7,0.27481258372960676,0.24699755602146117,0.3011848822115468,41.14261874276689,35.04349733136498,48.26551706827309,116.6219815043264,111.23424447487756,122.81387257753521
claude-sonnet-5,1.0,r2,0.8,0.13790130336065198,0.11536285964687581,0.16008220437822118,32.28350159920208,25.998282442748092,39.39495471749121,134.89416749257603,129.4593136573982,141.1863149636959
claude-sonnet-5,1.0,r2,0.9,0.06263732004743362,0.04865136097525183,0.07743969522724439,31.458762787758154,24.313155080213903,38.822203196347026,144.14429646855078,139.18614911260366,149.68171647334327
claude-sonnet-5,1.0,r3,0.5,0.6930504216507939,0.6670408637806579,0.7183970378408795,39.43562072068548,35.44563171272407,43.81191361290849,72.46203966055901,67.6820505497644,77.65731059302752
claude-sonnet-5,1.0,r3,0.6,0.43579482080144727,0.4084205000690703,0.4639847817658136,40.474506792832386,34.87809824614328,47.07239212545483,97.92164927320974,92.32469445041366,103.87808747199725
claude-sonnet-5,1.0,r3,0.7,0.261456000941787,0.23391925380922188,0.288453405818912,41.285011416114514,34.734310279222306,49.39917985547723,119.26431079711732,113.23726015050329,125.77548851928209
claude-sonnet-5,1.0,r3,0.8,0.1448641327360935,0.12403658943374088,0.16486070039262923,33.28404455774505,27.983738687782804,39.17240571120689,133.87957962836273,128.3694661780727,139.83764332514335
claude-sonnet-5,1.0,r3,0.9,0.06660007353817554,0.05208246816168327,0.08223707241045078,29.36225433802809,22.086146245059286,36.8230687606112,143.40901073554878,138.36122571979612,149.1121201563231
