model,temperature,epsilon,n,w0,k,mae_raw,medae_raw,mae_cal_insample,medae_cal_insample,mae_cal_cv,medae_cal_cv
gemma3:12b,1.0,0.9,81,79.91,0.562,45.41975308641975,43.0,31.458288097815892,26.145487199938003,32.186394481702806,26.544774071500726
gemma3:4b,0.0,0.5,295,92.53,0.689,68.44067796610169,50.0,59.13184216396129,45.22762757690833,59.58175974771328,45.6115207784361
gemma3:4b,0.0,0.6,227,86.56,0.744,67.70484581497797,51.0,55.04105169198857,42.213267313863554,55.585093480911496,42.5807050372639
gemma3:4b,0.0,0.7,166,58.17,0.906,58.57831325301205,49.0,45.48172781195314,35.0,46.09891843316579,36.14793880322651
gemma3:4b,0.0,0.8,98,60.08,0.887,58.39795918367347,46.0,44.89226819920974,33.9703846533767,46.009641676077436,35.04277184950722
gemma3:4b,0.0,0.9,65,81.17,0.682,57.2,49.0,41.304370579892,33.08811091780714,42.71158032134572,33.88731205684866
gemma3:4b,0.2,0.5,291,93.16,0.68,69.16151202749141,50.0,59.90895790209824,46.25946680768391,60.3924705321988,46.73850820557317
gemma3:4b,0.2,0.6,221,89.25,0.723,69.37556561085972,51.0,56.05164321142036,44.50297570411692,56.661089574380206,44.82271084844635
gemma3:4b,0.2,0.7,164,57.26,0.901,59.1890243902439,49.5,45.70940854312205,34.533201349734114,46.36776046548851,34.98284270017092
gemma3:4b,0.2,0.8,99,61.31,0.862,58.61616161616162,46.0,44.292031197754206,34.23413196841807,45.540704989862085,34.700728147663995
gemma3:4b,0.2,0.9,67,96.92,0.532,59.149253731343286,51.0,41.36148693907322,34.08089075916428,42.73882311519958,34.60989745600739
gemma3:4b,0.4,0.5,283,95.59,0.666,69.36749116607774,46.0,62.11717223752198,49.029188409307835,62.622882882065454,49.139803941957894
gemma3:4b,0.4,0.6,212,91.01,0.721,69.14622641509433,49.0,58.71227424022285,47.42164924786282,59.32718241696333,47.68344947810654
gemma3:4b,0.4,0.7,161,68.79,0.839,60.88819875776397,44.0,50.131191551981566,39.68625502822559,50.81934530268949,40.09668709817616
gemma3:4b,0.4,0.8,97,72.44,0.757,58.01030927835052,44.0,45.20246707790024,33.763073410858055,46.23244091602872,33.688633498924844
gemma3:4b,0.4,0.9,65,89.48,0.603,55.84615384615385,46.0,40.51949984131772,32.85561189950053,41.71039270932422,33.51752092991302
gemma3:4b,0.6,0.5,299,97.48,0.653,69.1638795986622,50.0,59.2504117415548,45.81354679788268,59.70251161902532,46.035707796133124
gemma3:4b,0.6,0.6,227,100.67,0.648,70.0,51.0,56.919539373624055,44.4883308074219,57.49450301326716,45.0084582362872
gemma3:4b,0.6,0.7,169,68.43,0.832,59.562130177514796,49.0,45.88412060442586,38.289647540372584,46.4671650791149,38.31644766110733
gemma3:4b,0.6,0.8,104,72.82,0.732,57.29807692307692,47.0,44.67591669692203,34.17636157518159,45.65256399792084,34.47581848193485
gemma3:4b,0.6,0.9,67,94.09,0.537,58.014925373134325,49.0,42.00260075262518,39.32664713194015,43.386958080081676,40.514443194561125
gemma3:4b,0.8,0.5,290,102.55,0.622,71.14137931034483,50.5,61.742026748113396,47.44600019207144,62.20891298978396,47.54082631942997
gemma3:4b,0.8,0.6,224,95.79,0.66,68.58035714285714,51.0,56.7544750411011,43.50003460290699,57.31757091421093,43.73411571047146
gemma3:4b,0.8,0.7,164,73.03,0.804,62.58536585365854,46.0,51.74000888194465,38.03903345133783,52.365080221219394,38.23719890742018
gemma3:4b,0.8,0.8,97,69.63,0.8,62.54639175257732,49.0,49.93632551754504,37.66658073635432,51.27160891358079,37.96975573647671
gemma3:4b,0.8,0.9,68,90.92,0.599,60.6764705882353,55.5,43.17426254912465,36.328597244798715,44.60782408375079,37.16175350664054
gemma3:4b,1.0,0.5,290,94.99,0.665,70.09655172413792,48.5,58.89498113962841,44.24584322509699,59.33726706296955,44.91033989365924
