epsilon,tp,fp,fn,precision,recall,f1,n_matched_w,mae,medae,cpmae
0.5,644,345,226,0.651,0.74,0.693,641,39.4,19.0,72.5
0.6,405,584,465,0.41,0.466,0.436,404,40.4,23.0,97.9
0.7,243,746,627,0.246,0.279,0.261,242,41.1,25.0,119.2
0.8,135,854,735,0.137,0.155,0.145,135,33.3,22.0,133.7
0.9,62,927,808,0.063,0.071,0.067,62,29.4,20.5,143.3
